Team,Number,Unit,Min,Off,Offensive Rating,Def,Defensive Rating,Net ,PlusMinus,W,L,WinPerc
BKN,17, Watson  Brooks  Stackhouse  Humphries  Blatche,39.5,0.86,86,1.07,107,-21,16,2,4,33.3
BKN,18, Watson  Williams  Johnson  Evans  Lopez,39.5,1.14,114,1.24,124,-10,6,4,8,33.3
BKN,19, Watson  Williams  Johnson  Humphries  Lopez,36.8,1.15,115,1.43,143,-28,12,1,6,14.2
BKN,20, Williams  Bogans  Johnson  Teletovic  Lopez,33.5,1.44,144,1.18,118,26,17,7,4,63.6
CHA,1, Walker  Henderson  Kidd  Gilchrist  McRoberts  Biyombo,279.8,1.04,104,1.09,109,-5,18,6,12,33.3
CHA,2, Walker  Henderson  Kidd  Gilchrist  Mullens  Biyombo,223.2,1.03,103,1.14,114,-11,49,8,13,38
CHA,3, Walker  Taylor  Kidd  Gilchrist  Mullens  Haywood,166.1,0.95,95,0.97,97,-2,4,6,9,40
CHA,4, Walker  Henderson  Kidd  Gilchrist  Warrick  Biyombo,111.6,0.97,97,1.14,114,-17,38,5,7,41.6
CHA,5, Walker  Sessions  Henderson  Mullens  Biyombo,75.5,1.05,105,1.07,107,-2,0,4,6,40
CHA,6, Sessions  Gordon  Taylor  Adrien  Haywood,75.1,1.01,101,1.03,103,-2,1,7,7,50
CHA,7, Walker  Henderson  Kidd  Gilchrist  Adrien  Biyombo,73.8,1.01,101,1,100,1,3,9,5,64.2
CHA,8, Walker  Gordon  Henderson  McRoberts  Biyombo,66.5,1.04,104,1.31,131,-27,37,4,11,26.6
CHA,9, Walker  Taylor  Kidd  Gilchrist  Mullens  Biyombo,56.3,1.06,106,1.24,124,-18,20,4,8,33.3
CHA,10, Walker  Sessions  Kidd  Gilchrist  Mullens  Haywood,44.6,1.01,101,0.95,95,6,5,5,4,55.5
CHA,11, Walker  Sessions  Kidd  Gilchrist  Mullens  Biyombo,36.5,1.2,120,1.18,118,2,4,7,6,53.8
CHA,12, Walker  Sessions  Henderson  Kidd  Gilchrist  Biyombo,35.9,0.99,99,1.01,101,-2,7,3,6,33.3
CHA,13, Walker  Sessions  Henderson  Warrick  Biyombo,32.2,0.78,78,1.36,136,-58,33,1,6,14.2
CHA,14, Walker  Henderson  Kidd  Gilchrist  Mullens  Haywood,32,1.02,102,0.98,98,4,2,3,3,50
CHA,15, Walker  Taylor  Kidd  Gilchrist  Thomas  Biyombo,32,1.03,103,0.89,89,14,5,2,1,66.6
CHA,16, Sessions  Gordon  Taylor  Mullens  Biyombo,32,0.98,98,1.19,119,-21,14,2,7,22.2
CHA,17, Walker  Henderson  Taylor  Warrick  Biyombo,29.7,0.98,98,0.91,91,7,5,2,2,50
CHA,18, Sessions  Gordon  Taylor  Mullens  Haywood,29.2,0.95,95,1.34,134,-39,23,3,6,33.3
CHA,19, Walker  Gordon  Henderson  Mullens  Biyombo,28.8,1.09,109,1.13,113,-4,0,4,3,57.1
CHA,20, Walker  Sessions  Taylor  Mullens  Haywood,28.2,1.17,117,1.05,105,12,4,4,4,50
CHI,1, Hinrich  Hamilton  Deng  Boozer  Noah,428.2,1.03,103,1,100,3,28,14,11,56
CHI,2, Hinrich  Belinelli  Deng  Boozer  Noah,296.7,0.98,98,1.02,102,-4,22,8,14,36.3
CHI,3, Robinson  Belinelli  Deng  Boozer  Noah,236.4,0.97,97,1.08,108,-11,35,12,15,44.4
CHI,4, Robinson  Hamilton  Deng  Boozer  Noah,218.4,0.93,93,1.07,107,-14,47,7,10,41.1
CHI,5, Hinrich  Butler  Deng  Boozer  Mohammed,147.8,1.03,103,0.96,96,7,16,5,4,55.5
CHI,6, Hinrich  Hamilton  Butler  Boozer  Noah,128.7,0.99,99,1.03,103,-4,3,6,6,50
CHI,7, Robinson  Belinelli  Butler  Gibson  Noah,128.7,1.19,119,1.02,102,17,37,13,14,48.1
CHI,8, Robinson  Belinelli  Deng  Gibson  Noah,106.3,0.97,97,0.92,92,5,14,12,12,50
CHI,9, Robinson  Belinelli  Butler  Deng  Gibson,86.3,1.06,106,1.05,105,1,5,4,4,50
CHI,10, Robinson  Butler  Deng  Gibson  Noah,79.2,0.99,99,1.11,111,-12,25,7,14,33.3
CHI,11, Robinson  Belinelli  Butler  Gibson  Boozer,69.6,1.02,102,1.1,110,-8,9,8,10,44.4
CHI,12, Robinson  Belinelli  Deng  Gibson  Mohammed,66.2,0.97,97,0.99,99,-2,7,6,8,42.8
CHI,13, Robinson  Belinelli  Butler  Deng  Noah,65.5,1.13,113,1.17,117,-4,12,6,9,40
CHI,14, Robinson  Butler  Deng  Gibson  Boozer,65.4,1.07,107,1.29,129,-22,20,7,11,38.8
CHI,15, Robinson  Belinelli  Butler  Boozer  Noah,62,1.03,103,1.1,110,-7,7,10,13,43.4
CHI,16, Hinrich  Butler  Deng  Gibson  Noah,53.6,1.16,116,0.79,79,37,28,10,6,62.5
CHI,17, Robinson  Belinelli  Butler  Gibson  Mohammed,52.9,1.27,127,1.02,102,25,21,6,4,60
CHI,18, Robinson  Butler  Deng  Boozer  Noah,49.8,1.22,122,1.06,106,16,17,7,7,50
CHI,19, Hinrich  Butler  Deng  Boozer  Noah,46,1.01,101,1.07,107,-6,4,5,5,50
CHI,20, Hinrich  Belinelli  Butler  Boozer  Noah,46,0.99,99,0.91,91,8,7,7,5,58.3
CLE,1, Irving  Waiters  Gee  Thompson  Zeller,421.6,1.04,104,1.11,111,-7,62,12,17,41.3
CLE,2, Irving  Waiters  Gee  Thompson  Varejao,189.5,1.14,114,1,100,14,53,7,3,70
CLE,3, Irving  Ellington  Gee  Thompson  Zeller,185.9,0.96,96,1.15,115,-19,66,2,8,20
CLE,4, Irving  Gee  Miles  Thompson  Zeller,153.1,1.11,111,1.08,108,3,13,7,5,58.3
CLE,5, Livingston  Ellington  Miles  Walton  Speights,120.7,1.1,110,1.17,117,-7,14,7,10,41.1
CLE,6, Livingston  Waiters  Gee  Thompson  Zeller,99.2,1,100,1.14,114,-14,23,5,8,38.4
CLE,7, Pargo  Waiters  Gee  Thompson  Varejao,99,1.1,110,1.08,108,2,7,4,3,57.1
CLE,8, Livingston  Ellington  Gee  Thompson  Zeller,82.3,1.03,103,1.14,114,-11,19,3,5,37.5
CLE,9, Irving  Gee  Miles  Thompson  Varejao,62.8,1,100,1.1,110,-10,13,1,3,25
CLE,10, Gibson  Pargo  Gee  Thompson  Varejao,56.4,0.99,99,1.19,119,-20,24,2,6,25
CLE,11, Irving  Waiters  Miles  Thompson  Zeller,48,0.94,94,1.13,113,-19,13,6,7,46.1
CLE,12, Irving  Gibson  Gee  Varejao  Zeller,37.7,1.17,117,1.01,101,16,9,6,2,75
CLE,13, Irving  Gee  Miles  Varejao  Zeller,37.7,0.95,95,1.01,101,-6,6,4,5,44.4
CLE,14, Irving  Ellington  Gee  Thompson  Speights,36.6,0.73,73,1.27,127,-54,36,1,9,10
CLE,15, Irving  Waiters  Gee  Walton  Zeller,30.9,0.77,77,1.34,134,-57,38,1,8,11.1
CLE,16, Irving  Waiters  Gee  Thompson  Speights,30.8,1.15,115,1.29,129,-14,5,4,6,40
CLE,17, Irving  Livingston  Gee  Thompson  Zeller,30.2,1.25,125,0.86,86,39,21,6,4,60
CLE,18, Irving  Gibson  Gee  Walton  Zeller,29.9,0.96,96,1.04,104,-8,4,1,3,25
CLE,19, Gibson  Waiters  Gee  Varejao  Zeller,27.5,1.08,108,1.2,120,-12,6,2,3,40
CLE,20, Gibson  Quinn  Miles  Walton  Speights,26,1.02,102,0.88,88,14,6,2,1,66.6
DAL,1, Collison  Mayo  Carter  Marion  Brand,197.3,1.05,105,1.08,108,-3,16,15,23,39.4
DAL,2, Collison  Mayo  Carter  Marion  Kaman,163.4,1.07,107,1.06,106,1,19,15,14,51.7
